user_id,session_count,avg_session_duration,pageviews,bounce_rate,country,device,revenue
1,4,307,6,52.51,UK,Tablet,32.91
2,1,211,4,69.12,India,Mobile,36.73
3,3,316,4,65.59,Germany,Tablet,184.94
4,3,292,2,41.96,UK,Tablet,168.73
5,2,276,3,22.0,USA,Desktop,12.12
6,3,220,3,38.11,Canada,Mobile,83.33
7,2,325,8,61.32,India,Mobile,10.99
8,3,273,6,55.07,UK,Desktop,12.01
9,0,241,0,42.97,Germany,Tablet,56.36
10,2,156,8,22.76,USA,Mobile,25.96
11,4,298,5,41.34,USA,Tablet,134.08
12,2,388,4,43.45,UK,Desktop,4.66
13,1,383,5,66.43,Germany,Tablet,35.82
14,3,277,7,52.05,USA,Mobile,125.37
15,4,269,6,35.58,India,Tablet,117.23
16,4,323,3,46.27,USA,Tablet,8.51
17,1,250,4,23.3,Germany,Mobile,22.84
18,2,315,2,68.63,Canada,Mobile,48.26
19,3,338,4,38.0,Canada,Tablet,8.68
20,2,361,1,43.89,UK,Tablet,172.14
21,3,294,9,37.76,Germany,Desktop,123.11
22,4,289,3,54.13,USA,Mobile,9.13
23,1,256,1,53.11,USA,Tablet,6.46
24,3,258,5,55.77,Canada,Mobile,4.46
25,3,288,4,33.41,Canada,Desktop,120.09
26,3,318,6,35.78,India,Tablet,10.76
27,5,345,5,26.26,Canada,Tablet,26.92
28,0,259,8,52.78,India,Tablet,29.79
29,1,374,5,21.99,USA,Mobile,45.69
30,4,286,7,49.88,India,Desktop,3.72
31,3,298,4,63.48,India,Mobile,12.86
32,1,262,1,64.54,UK,Tablet,134.04
33,7,178,5,42.45,Canada,Desktop,119.52
34,3,344,4,42.97,India,Tablet,76.0
35,4,336,3,23.85,USA,Tablet,0.98
36,2,285,2,53.54,Germany,Mobile,19.8
37,1,303,12,61.06,India,Tablet,49.44
38,4,325,5,32.23,Canada,Desktop,16.09
39,4,221,10,41.07,UK,Tablet,120.17
40,1,273,6,61.94,USA,Tablet,50.24
41,2,339,1,63.86,UK,Mobile,3.73
42,3,237,6,32.16,Germany,Desktop,119.85
43,5,314,2,47.53,India,Mobile,158.23
44,5,232,4,29.62,India,Tablet,4.04
45,3,323,5,25.09,Canada,Mobile,38.0
46,2,298,8,65.56,India,Mobile,18.07
47,3,219,4,61.03,USA,Mobile,24.95
48,3,358,2,58.0,Germany,Mobile,9.9
49,1,263,1,22.44,UK,Tablet,43.15
50,6,259,8,62.19,Germany,Tablet,158.48
51,1,310,8,41.9,India,Desktop,34.97
52,5,357,4,37.12,UK,Mobile,4.33
53,4,249,1,47.32,Canada,Mobile,48.38
54,3,303,9,24.57,Germany,Desktop,20.79
55,2,321,4,57.83,UK,Mobile,96.87
56,3,334,2,49.12,UK,Desktop,28.52
57,2,308,4,29.33,UK,Tablet,10.71
58,6,281,3,29.41,USA,Desktop,10.6
59,2,258,8,29.21,Germany,Mobile,73.22
60,6,304,9,22.85,UK,Desktop,15.43
61,3,246,4,49.39,Germany,Tablet,72.89
62,0,153,4,62.02,UK,Mobile,11.53
63,5,321,5,20.87,Canada,Tablet,19.41
64,0,345,11,22.45,Canada,Tablet,31.32
65,6,181,8,48.64,Canada,Desktop,143.41
66,2,249,6,60.97,India,Tablet,134.22
67,4,330,2,36.34,UK,Mobile,11.59
